nome;jogo12;jogo11;jogo10;jogo09;jogo08;jogo07;jogo06;jogo05;jogo04;jogo03;jogo02;jogo01
kenn_lui;Milho na brasa;Caldo canjiquinha;Cachorro quente;Espetinho;Espetinho de chocolate;0;Bolo de tapioca;Choconhaque;Suco de milho;Pé de moga;Canjica de amendoim;0
leoofrc;Milho cozido;0;0;Arroz carreteiro;Espetinho de chocolate;Doce de leite;Bolo de milho;0;0;0;0;0
leorodarte;Milho na brasa;Caldo verde;Pastel (de carne ou de queijo);Arroz carreteiro;Pipoca caramelizada;Amendoim doce;Bolo de pé de moleque;Quentéo de cachaga;Chocolate quente;Pé de moga;Canjica de amendoim;Bolo de mandioca
leticiaploeg;Milho cozido;Caldo verde;Pastel (de carne ou de queijo);0;Espetinho de chocolate;Rapadura;Bolo de milho;Quentéo de vinho;Chocolate quente;Cocada morena;0;Bolo de mandioca
lorenagarciac;Milho cozido;Caldo de feijéo;0;Espetinho;Espetinho de chocolate;Pagoca;Bolo de milho;Quentéo de vinho;Chocolate quente;Pé de moga;Canjica de coco;0
luanderms;Milho cozido;Caldo verde;Pastel (de carne ou de queijo);Arroz carreteiro;Espetinho de chocolate;Pagoca;Bolo de tapioca;Choconhaque;Chocolate quente;Pé de moga;Arroz doce;Pamonha doce
lucascasabreu;;;Pastel (de carne ou de queijo);Espetinho;Espetinho de chocolate;Pagoca;;;;0;;
luciosidney;Pipoca de sal;Caldo canjiquinha;0;Espetinho;Algodéo doce;Doce de leite;Quebra-queixo;Choconhaque;Caldo de cana;Cocada branca;Curau de milho;Pamonha doce
lukasbezerra;Milho cozido;Caldo vaca atolada;Cachorro quente;Galinhada;0;0;0;Choconhaque;Caldo de cana;Pé de moleque;Canjica de coco;Pamonha doce
lunzito;;Caldo de feijéo;Salsichéo;Arroz carreteiro;Magé do amor;Pagoca;Bolo de tapioca;Choconhaque;Caldo de cana;Cocada morena;Arroz doce;Bolo de coco
m;Milho na brasa;Caldo verde;Cachorro quente;Arroz carreteiro;Magé do amor;Pagoca;0;Quentéo de vinho;Caldo de cana;0;Canjica de amendoim;0
m_calci;Pipoca de sal;0;Cachorro quente;Arroz carreteiro;Pipoca caramelizada;Pagoca;0;0;Chocolate quente;Pé de moleque;0;Bolo de mandioca
maisa_rcampos;;0;0;0;0;0;0;;Crentéo;Cocada branca;Canjica de coco;Pamonha doce
maisumaisadora;Pipoca de sal;Caldo verde;Cachorro quente;Espetinho;Espetinho de chocolate;Pagoca;Bolo de tapioca;0;Chocolate quente;Pé de moga;Canjica de coco;0
marcusteacher;Milho na brasa;Caldo verde;Pastel (de carne ou de queijo);Arroz carreteiro;Algodéo doce;0;Bolo de tapioca;Quentéo de vinho;0;Cocada branca;Canjica de coco;Pamonha doce
marinapl28;Milho cozido;Caldo de feijéo;Cachorro quente;Espetinho;Magé do amor;Amendoim doce;Bolo de milho;Quentéo de vinho;Crentéo;Cocada morena;Canjica de amendoim;Pamonha doce
mariﬁdelisa;Pipoca de sal;Caldo canjiquinha;Pastel (de carne ou de queijo);Galinhada;Algodéo doce;Doce de leite;Bolo de milho;0;0;0;0;0

matheus_santanaara;Milho cozido;Caldo de feijéo;Cachorro quente;Galinhada;Pipoca caramelizada;Amendoim doce;Bolo de tapioca;Choconhaque;Crentéo;Pé de moga;0;Pamonha doce
mathlewho;;;Pastel (de carne ou de queijo);0;Pipoca caramelizada;Doce de leite;Bolo de milho;;0;0;;0
mathpads;Milho na brasa;0;0;Galinhada;0;Doce de leite;Bolo de milho;0;Suco de milho;Pé de moleque;Curau de milho;Bolo de mandioca
mayra_726;Milho na brasa;Caldo verde;Cachorro quente;Espetinho;0;Pagoca;Bolo de tapioca;Quentéo de cachaga;0;Cocada branca;Canjica de coco;Bolo de mandioca
mmakiuchL;Milho cozido;Caldo verde;0;0;Espetinho de chocolate;Doce de leite;Bolo de milho;Choconhaque;Chocolate quente;Cocada morena;Curau de milho;Bolo de mandioca
mnetoguerra;Pamonha de sal;Caldo de feijéo;0;0;Algodéo doce;Amendoim doce;Bolo de milho;Camel;Chocolate quente;Cocada branca;Canjica de amendoim;Bolo de mandioca
moisesgabriel;;;Cachorro quente;Arroz carreteiro;Espetinho de chocolate;Doce de leite;Bolo de milho;;0;0;;0
moremaric;Pamonha de sal;Caldo verde;Pastel (de carne ou de queijo);Arroz carreteiro;Algodéo doce;Doce de leite;Bolo de milho;Choconhaque;Caldo de cana;Cocada morena;Canjica de coco;Bolo de mandioca
murilo_simio;Milho cozido;Caldo vaca atolada;Cachorro quente;Arroz carreteiro;0;Doce de leite;Bolo de milho;Choconhaque;Chocolate quente;Pé de moga;Canjica de coco;Pamonha doce
mykael,amara|;Milho na brasa;Caldo verde;Pastel (de carne ou de queijo);Arroz carreteiro;Magé do amor;Rapadura;0;Camel;Caldo de cana;Cocada morena;Canjica de amendoim;Bolo de fubé
naiamy;Pamonha de sal;Caldo de feijéo;Cachorro quente;Arroz carreteiro;Espetinho de chocolate;Pagoca;Quebra-queixo;Choconhaque;0;Pé de moga;Canjica de amendoim;Bolo de coco
naiaramarttins;Milho cozido;Caldo de feijéo;Pastel (de carne ou de queijo);0;Pipoca caramelizada;0;Bolo de milho;Camel;Chocolate quente;Cocada morena;Canjica de amendoim;Pamonha doce
nataliaob;Milho cozido;Caldo verde;Pastel (de carne ou de queijo);Galinhada;0;0;0;Choconhaque;Chocolate quente;Pé de moleque;0;0
natspictureabout;Pamonha de sal;0;Cachorro quente;Espetinho;Espetinho de chocolate;Pagoca;Quebra-queixo;0;0;0;0;0
nefelibata_lais;Pamonha de sal;Caldo verde;0;Arroz carreteiro;Pipoca caramelizada;Amendoim doce;Bolo de pé de moleque;Quentéo de vinho;Crentéo;Pé de moleque;Canjica de amendoim;Bolo de mandioca
nina_diniz;Milho na brasa;Caldo verde;Cachorro quente;0;Espetinho de chocolate;0;Bolo de milho;0;0;0;0;0
pablomarcanth;Milho cozido;0;Salsichéo;Espetinho;0;Pagoca;Bolo de tapioca;0;0;0;0;0
paulalem0527;Milho cozido;Caldo de feijéo;0;0;0;Doce de leite;Bolo de milho;Choconhaque;Chocolate quente;Cocada morena;Canjica de coco;Bolo de coco
pedrohasantiago;Pamonha de sal;0;Cachorro quente;Galinhada;Pipoca caramelizada;Pagoca;Bolo de milho;Choconhaque;Caldo de cana;Pé de moleque;Canjica de amendoim;0
perimartins;Pipoca de sal;Caldo de feijéo;Pastel (de carne ou de queijo);Arroz carreteiro;Pipoca caramelizada;Amendoim doce;0;0;0;0;0;0
petit_ervi|ha;Milho cozido;Caldo de feijéo;Salsichéo;Arroz carreteiro;Espetinho de chocolate;Doce de leite;Bolo de milho;Choconhaque;Chocolate quente;0;0;0
phfaber;Pipoca de sal;Caldo vaca atolada;Pastel (de carne ou de queijo);Arroz carreteiro;Pipoca caramelizada;Doce de leite;0;Choconhaque;Chocolate quente;0;0;0
professorasandrajang;Milho na brasa;Caldo verde;Pastel (de carne ou de queijo);Espetinho;Pipoca caramelizada;Pagoca;0;0;0;0;0;0
profheltonsereno;Milho cozido;Caldo de feijéo;Salsichéo;Espetinho;Algodéo doce;Pagoca;Bolo de tapioca;Choconhaque;Chocolate quente;0;Canjica de amendoim;0
rafael,corsini;;0;0;0;0;0;0;Choconhaque;Chocolate quente;Pé de moleque;Arroz doce;Bolo de fubé
rafaela_okamoto;Milho na brasa;Caldo verde;Salsichéo;0;Espetinho de chocolate;Doce de leite;Bolo de milho;Choconhaque;Chocolate quente;Cocada morena;Arroz doce;Pamonha doce
raphabraccialli;Pamonha de sal;Caldo de feijéo;Pastel (de carne ou de queijo);0;Espetinho de chocolate;Amendoim doce;Bolo de tapioca;Choconhaque;0;Pé de moleque;Canjica de amendoim;Bolo de mandioca
raquelpisilva;Milho na brasa;Caldo canjiquinha;Pastel (de carne ou de queijo);Vatapé de frango;Pipoca caramelizada;Pagoca;Quebra-queixo;Camel;0;Cocada morena;Curau de milho;Bolo de mandioca
ravenful;Milho na brasa;Caldo verde;Cachorro quente;Espetinho;Magé do amor;Pagoca;Bolo de pé de moleque;Choconhaque;Caldo de cana;Cocada morena;Curau de milho;Pamonha doce
rayssinhasoares;Pipoca de sal;0;Cachorro quente;Arroz carreteiro;Magé do amor;Doce de leite;0;0;0;0;0;0
rebecahss;Milho na brasa;Caldo verde;Pastel (de carne ou de queijo);0;Pipoca caramelizada;Pagoca;Bolo de milho;Quentéo de vinho;Crentéo;Cocada branca;Canjica de coco;Pamonha doce
reis.b;Milho cozido;Caldo de feijéo;Salsichéo;Espetinho;Magé do amor;Doce de leite;0;0;Caldo de cana;0;0;0
renataros_;Pamonha de sal;Caldo verde;Cachorro quente;Galinhada;Espetinho de chocolate;Pagoca;Quebra-queixo;Choconhaque;Caldo de cana;Cocada morena;Curau de milho;Pamonha doce
ribeiro_gi|mar;;Caldo verde;0;0;0;0;0;;0;Cocada morena;Curau de milho;Bolo de mandioca
rodrigovsklima;Milho na brasa;0;Pastel (de carne ou de queijo);0;0;Doce de leite;0;0;0;0;Canjica de coco;0
rodsousa9;Pamonha de sal;Caldo vaca atolada;Buraco quente;Arroz carreteiro;Espetinho de chocolate;Doce de leite;Bolo de tapioca;Quentéo de cachaga;Chocolate quente;Cocada morena;Curau de milho;Bolo de mandioca
rogerghira;;0;0;0;Pipoca caramelizada;Doce de leite;Bolo de milho;Choconhaque;0;Pé de moga;Canjica de coco;Bolo de coco
ronaldocda;;0;Pastel (de carne ou de queijo);0;0;0;0;Choconhaque;Caldo de cana;Cocada morena;Canjica de amendoim;Bolo de mandioca
roronoaa;Pamonha de sal;Caldo verde;Salsichéo;Galinhada;Algodéo doce;Rapadura;0;Quentéo de vinho;Crentéo;Cocada branca;0;Pamonha doce
ruﬁno.png;;0;Cachorro quente;Espetinho;0;Pagoca;Bolo de tapioca;Camel;Chocolate quente;Cocada branca;Canjica de amendoim;Pamonha doce
saarahcastro;;Caldo verde;0;Galinhada;Algodéo doce;Doce de leite;Bolo de milho;Camel;Caldo de cana;0;Arroz doce;Bolo de fubé
salescaroL;;Caldo vaca atolada;Pastel (de carne ou de queijo);Espetinho;Espetinho de chocolate;Amendoim doce;Bolo de milho;;Chocolate quente;Pé de moleque;Canjica de amendoim;0
samuelss15;Pipoca de sal;0;Pastel (de carne ou de queijo);0;Espetinho de chocolate;Pagoca;Bolo de milho;Quentéo de vinho;Crentéo;Pé de moga;Arroz doce;Bolo de mandioca
sectorsul;Milho cozido;Caldo de feijéo;Cachorro quente;Galinhada;Algodéo doce;Rapadura;Bolo de milho;0;0;0;0;0
sletlima;Milho cozido;Caldo verde;Salsichéo;Arroz carreteiro;Espetinho de chocolate;0;Bolo de tapioca;Choconhaque;Chocolate quente;Cocada morena;Arroz doce;Bolo de mandioca
souzabsr;Pamonha de sal;Caldo vaca atolada;Cachorro quente;0;Magé do amor;Doce de leite;Bolo de milho;Quentéo de cachaga;Chocolate quente;Cocada branca;0;Pamonha doce
taguvo;Milho cozido;Caldo verde;Pastel (de carne ou de queijo);Espetinho;Espetinho de chocolate;Pagoca;Bolo de milho;0;Chocolate quente;Pé de moleque;0;Bolo de mandioca
tallytasorgatto;Milho cozido;Caldo de feijéo;Cachorro quente;Espetinho;Pipoca caramelizada;Doce de leite;Bolo de tapioca;Choconhaque;0;Cocada morena;Curau de milho;Pamonha doce
taomyeon;;Caldo de feijéo;Pastel (de carne ou de queijo);Espetinho;Algodéo doce;Pagoca;Bolo de milho;;0;Pé de moga;Canjica de coco;Bolo de mandioca
tatah_winchester;;0;0;0;0;0;0;Choconhaque;Chocolate quente;0;Arroz doce;Bolo de fubé
taynara,freitas_;;Caldo de feijéo;Pastel (de carne ou de queijo);Espetinho;Algodéo doce;Doce de leite;Bolo de tapioca;Choconhaque;Chocolate quente;Cocada morena;Curau de milho;Pamonha doce
thabatareginaa;Milho cozido;Caldo vaca atolada;0;Arroz carreteiro;Pipoca caramelizada;Amendoim doce;Bolo de pé de moleque;Choconhaque;Caldo de cana;0;0;0
thamyreseshebellydance;Pamonha de sal;0;Cachorro quente;0;Espetinho de chocolate;Doce de leite;Bolo de milho;0;0;0;0;0
tharikalves;Milho cozido;Caldo verde;Cachorro quente;Espetinho;0;Amendoim doce;Quebra-queixo;Quentéo de vinho;Chocolate quente;Cocada branca;Arroz doce;Bolo de coco
thatscaiovitor;Pamonha de sal;Caldo verde;Pastel (de carne ou de queijo);Arroz carreteiro;Espetinho de chocolate;Pagoca;Quebra-queixo;Choconhaque;Caldo de cana;0;0;0
thirdworlddiva;Pamonha de sal;Caldo canjiquinha;Buraco quente;Espetinho;Pipoca caramelizada;Pagoca;Bolo de tapioca;0;0;0;0;0
tim21 Ila;;;Cachorro quente;Arroz carreteiro;Pipoca caramelizada;Amendoim doce;Bolo de milho;;0;0;;0
tulioapo;Milho cozido;Caldo verde;Cachorro quente;Espetinho;Espetinho de chocolate;0;Quebra-queixo;0;Chocolate quente;Cocada morena;0;Bolo de mandioca
ulrichkofﬁ_ouffoue;Pamonha de sal;Caldo verde;Pastel (de carne ou de queijo);Arroz carreteiro;Espetinho de chocolate;0;Bolo de tapioca;Quentéo de vinho;Crentéo;Pé de moleque;Arroz doce;Pamonha doce
valeskab;Pamonha de sal;0;Pastel (de carne ou de queijo);Arroz carreteiro;0;Rapadura;0;Quentéo de vinho;Chocolate quente;Pé de moleque;Canjica de coco;Bolo de fubé
vitoriahadassaa;Milho cozido;0;0;Espetinho;Espetinho de chocolate;Doce de leite;0;0;Chocolate quente;Cocada branca;Canjica de coco;Pamonha doce
vitusimoes;Pamonha de sal;Caldo verde;Cachorro quente;Espetinho;Magé do amor;Pagoca;Bolo de tapioca;0;Caldo de cana;Pé de moleque;Canjica de amendoim;Pamonha doce
vrafhaell;Pamonha de sal;Caldo de feijéo;Salsichéo;Espetinho;0;0;Bolo de milho;0;0;0;0;0
wemykarla;;Caldo de feijéo;0;0;Magé do amor;Doce de leite;Quebra-queixo;;0;0;;0
wtftiago;Milho na brasa;Caldo verde;Cachorro quente;Vatapé de frango;Pipoca caramelizada;0;Bolo de milho;Quentéo de vinho;Caldo de cana;Pé de moga;Curau de milho;Bolo de fubé
xiicara;Milho cozido;0;Cachorro quente;Arroz carreteiro;Espetinho de chocolate;0;0;0;Chocolate quente;Pé de moga;0;0
yannemesquita;;0;Buraco quente;Galinhada;0;0;0;;Caldo de cana;Pé de moleque;Curau de milho;Pamonha doce
yurirocha_15;Milho cozido;Caldo vaca atolada;Pastel (de carne ou de queijo);Espetinho;Espetinho de chocolate;Pagoca;Bolo de tapioca;Choconhaque;Chocolate quente;Cocada morena;Arroz doce;Bolo de coco
|emosju|iana_;Milho cozido;Caldo de feijéo;Cachorro quente;0;Espetinho de chocolate;Amendoim doce;Bolo de milho;Quentéo de vinho;Chocolate quente;0;Canjica de coco;Bolo de fubé
|eticia.madeira1;;Caldo verde;Cachorro quente;Galinhada;Espetinho de chocolate;Amendoim doce;Bolo de pé de moleque;;0;0;;0
|iine_avi|a;Milho cozido;Caldo verde;Cachorro quente;Arroz carreteiro;0;0;0;Quentéo de vinho;Chocolate quente;Cocada branca;Curau de milho;Pamonha doce
|ivia.gcf;Pipoca de sal;Caldo de feijéo;Pastel (de carne ou de queijo);Galinhada;Pipoca caramelizada;Pagoca;Bolo de tapioca;Choconhaque;Chocolate quente;Pé de moleque;Arroz doce;Pamonha doce
|ucas_mezza;;Caldo canjiquinha;Cachorro quente;Galinhada;Espetinho de chocolate;Pagoca;Bolo de tapioca;;Suco de milho;0;;Pamonha doce
|ucasmartinsgsZ3;Pamonha de sal;Caldo verde;Pastel (de carne ou de queijo);Espetinho;0;Doce de leite;0;0;0;0;0;0
|uci_aguiarc;Pipoca de sal;0;Pastel (de carne ou de queijo);0;Magé do amor;Pagoca;Bolo de milho;Choconhaque;0;Cocada branca;0;Bolo de coco
|uis,amara|h;Milho na brasa;Caldo de feijéo;Cachorro quente;Espetinho;0;0;0;0;Chocolate quente;Pé de moleque;Curau de milho;Bolo de mandioca
ﬁllipemanhaes;Pipoca de sal;Caldo de feijéo;Pastel (de carne ou de queijo);0;Algodéo doce;0;Bolo de milho;Choconhaque;0;Cocada branca;Canjica de coco;Bolo de fubé
ﬂ);Pamonha de sal;Caldo verde;Buraco quente;Espetinho;Espetinho de chocolate;Doce de leite;Quebra-queixo;0;0;0;0;0
